LuaValue Consructors,,Return type,,,,,,,,,,
,valueOf(boolean),LuaBoolean,,,,,,,,,,
,valueOf(null),LuaNil,,,,,,,,,,
,valueOf(int) ,LuaInteger,,,,,,,,,,
,valueOf(double),LuaNumber,,,,,,,,,,
,valueOf(long),LuaNumber,,,,,,,,,,
,valueOf(String),LuaString,,,,,,,,,,
,tableOf(...),LuaTable,,,,,,,,,,
,listOf(LuaValue[]),LuaTable,,,,,,,,,,
,userdataOf(Object),LuaUserdata,,,,,,,,,,
,"uerdataOf(Object,Value)",LuaUserdata,,,,,,,,,,
,,,,,,,Arugment type,,,,,
,,,LuaBoolean,LuaClosure,LuaFunction,LuaDouble,LuaInteger,LuaNil,LuaString,LuaTable,LuaThread,LuaUserdata
Type Check Functions,,,,,,,,,,,,
,isboolean,boolean,TRUE,f,f,f,f,f,f,f,f,f
,isclosure,boolean,f,TRUE,f,f,f,f,f,f,f,f
,isfunction,boolean,f,TRUE,TRUE,f,f,f,f,f,f,f
,isint,boolean,f,f,f,f,TRUE,f,true | f,f,f,f
,isinttype,boolean,f,f,f,f,TRUE,f,f,f,f,f
,isnumber,boolean,f,f,f,TRUE,TRUE,f,true | f,f,f,f
,islong,boolean,f,f,f,true | f,TRUE,f,true | f,f,f,f
,isnil,boolean,f,f,f,f,f,TRUE,f,f,f,f
,isstring,boolean,f,f,f,true | f,TRUE,f,TRUE,f,f,f
,istable,boolean,f,f,f,f,f,f,f,TRUE,f,f
,isthread,boolean,f,f,f,f,f,f,f,f,TRUE,f
,isuserdata,boolean,f,f,f,f,f,f,f,f,f,TRUE
,isuserdata(Class c),boolean,f,f,f,f,f,f,f,f,f,true | f


Java Type Coercion Functions,,,,,,,,,,,,
,toboolean,boolean,this.v,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,tobyte,byte,0,0,0,0,this.v | 0,0,this.v | 0,0,0,0
,tochar,char,0,0,0,0,this.v | 0,0,this.v | 0,0,0,0
,todouble,double,0,0,0,this.v,this.v,0,this.v | 0,0,0,0
,tofloat,float,0,0,0,this.v | 0,this.v,0,this.v | 0,0,0,0
,toint,int,0,0,0,0,this.v,0,this.v | 0,0,0,0
,tolong,long,0,0,0,0,this.v,0,this.v | 0,0,0,0
,toshort,short,0,0,0,0,this.v | 0,0,this.v | 0,0,0,0
